source_db,source_dataset,organism,is_cell_line,cell_line_name,perturbation_type,treatment,disease,n_cells_approx,n_perturbations,sequencing_platform,library_prep,modality,accession,data_url,publication,notes
scPerturb v1.4,AdamsonWeissman2016_GSM2406675_10X001,Homo sapiens,True,K562,CRISPR,UPR pathway genes (CRISPRi),Chronic myelogenous leukemia,9000.0,9.0,10x Chromium,Perturb-seq,scRNA-seq,GSM2406675,https://zenodo.org/records/13350497,Adamson & Weissman 2016 (10.1016/j.cell.2016.11.048),UPR stress-response CRISPR screen
scPerturb v1.4,AdamsonWeissman2016_GSM2406677_10X005,Homo sapiens,True,K562,CRISPR,UPR pathway genes (CRISPRi),Chronic myelogenous leukemia,50000.0,20.0,10x Chromium,Perturb-seq,scRNA-seq,GSM2406677,https://zenodo.org/records/13350497,Adamson & Weissman 2016 (10.1016/j.cell.2016.11.048),
scPerturb v1.4,AdamsonWeissman2016_GSM2406681_10X010,Homo sapiens,True,K562,CRISPR,UPR pathway genes (CRISPRi),Chronic myelogenous leukemia,200000.0,114.0,10x Chromium,Perturb-seq,scRNA-seq,GSM2406681,https://zenodo.org/records/13350497,Adamson & Weissman 2016 (10.1016/j.cell.2016.11.048),
scPerturb v1.4,DixitRegev2016_K562_TFs,Homo sapiens,True,K562,CRISPR,Transcription factors (CRISPR-Cas9),Chronic myelogenous leukemia,200000.0,31.0,10x Chromium,Perturb-seq,scRNA-seq,GSE90063,https://zenodo.org/records/13350497,Dixit & Regev 2016 (10.1016/j.cell.2016.11.038),
scPerturb v1.4,NormanWeissman2019_filtered,Homo sapiens,True,K562,CRISPR,"TF overexpression (CRISPRa, single + combinatorial)",Chronic myelogenous leukemia,111000.0,237.0,10x Chromium,Perturb-seq (CRISPRa),scRNA-seq,GSE133344,https://zenodo.org/records/13350497,Norman & Weissman 2019 (10.1126/science.aax4438),Gene interaction manifold; dual-guide combinations
scPerturb v1.4,DatlingerBock2017,Homo sapiens,True,Jurkat,CRISPR,T-cell signalling genes (CRISPR-Cas9) + TCR stimulation,T-cell leukemia,5000.0,97.0,Drop-seq,CROP-seq,scRNA-seq,GSE92872,https://zenodo.org/records/13350497,Datlinger & Bock 2017 (10.1038/nmeth.4177),
scPerturb v1.4,DatlingerBock2021,Homo sapiens,True,Jurkat,CRISPR,T-cell signalling genes (CRISPR-Cas9) + TCR stimulation,T-cell leukemia,700000.0,48.0,SciFi-RNA-seq (combinatorial indexing),scifi-RNA-seq (CROP-seq variant),scRNA-seq,GSE148778,https://zenodo.org/records/13350497,Datlinger & Bock 2021 (10.1038/s41592-021-01153-z),Ultra-high-throughput; TCR stimulation co-perturbation
scPerturb v1.4,GasperiniShendure2019_atscale,Homo sapiens,True,K562,CRISPR,"Enhancer elements, ~10,000 elements (CRISPRi)",Chronic myelogenous leukemia,250000.0,43000.0,10x Chromium,CROP-seq,scRNA-seq,GSE120861,https://zenodo.org/records/13350497,Gasperini & Shendure 2019 (10.1016/j.cell.2019.02.029),Genome-wide enhancer screen at scale
scPerturb v1.4,FrangiehIzar2021_RNA,Homo sapiens,False,Melanoma patient-derived cells,CRISPR,Cancer immune-evasion genes (CRISPR-Cas9),Melanoma,218000.0,249.0,10x Chromium,Perturb-CITE-seq,scRNA-seq + protein (CITE-seq),GSE168620,https://zenodo.org/records/13350497,Frangieh & Izar 2021 (10.1038/s41588-021-00779-1),Patient-derived melanoma; immune co-culture
scPerturb v1.4,PapalexiSatija2021_eccite,Homo sapiens,True,THP-1 / Jurkat,CRISPR,Immune checkpoint genes (CRISPR-Cas9),Monocytic leukemia / T-cell leukemia,20000.0,99.0,10x Chromium,ECCITE-seq,scRNA-seq + protein (CITE-seq),GSE162699,https://zenodo.org/records/13350497,Papalexi & Satija 2021 (10.1038/s41592-021-01097-3),Inhibitory immune checkpoint regulation
scPerturb v1.4,ReplogleWeissman2022_K562_essential,Homo sapiens,True,K562,CRISPR,"Essential genes (~1,000, CRISPRi)",Chronic myelogenous leukemia,130000.0,1000.0,10x Chromium,Perturb-seq (Genome-scale),scRNA-seq,GSE168620,https://zenodo.org/records/13350497,Replogle & Weissman 2022 (10.1016/j.cell.2022.05.013),Genome-scale Perturb-seq
scPerturb v1.4,ReplogleWeissman2022_K562_gwps,Homo sapiens,True,K562,CRISPR,"Genome-wide (~10,000 genes, CRISPRi)",Chronic myelogenous leukemia,2500000.0,10000.0,10x Chromium,Perturb-seq (Genome-scale),scRNA-seq,GSE168620,https://zenodo.org/records/13350497,Replogle & Weissman 2022 (10.1016/j.cell.2022.05.013),Largest genome-scale Perturb-seq to date
scPerturb v1.4,ReplogleWeissman2022_rpe1,Homo sapiens,True,RPE1,CRISPR,"Genome-wide (~10,000 genes, CRISPRi)",Normal (retinal pigment epithelium),1200000.0,10000.0,10x Chromium,Perturb-seq (Genome-scale),scRNA-seq,GSE168620,https://zenodo.org/records/13350497,Replogle & Weissman 2022 (10.1016/j.cell.2022.05.013),
scPerturb v1.4,SchraivogelSteinmetz2020_TAP_SCREEN,Homo sapiens,True,K562 / MCF7,CRISPR,Regulatory elements chr11 + chr8 (CRISPRi),CML / Breast cancer,50000.0,84.0,10x Chromium,TAP-seq,scRNA-seq,GSE143730,https://zenodo.org/records/13350497,Schraivogel & Steinmetz 2020 (10.1038/s41592-020-0837-5),Targeted Perturb-seq; chr11 + chr8 screens
scPerturb v1.4,ShifrutMarson2018,Homo sapiens,True,Jurkat / Primary T cells,CRISPR,T-cell regulatory genes (CRISPRa/CRISPRi),T-cell biology / autoimmunity,200000.0,200.0,10x Chromium,Perturb-seq,scRNA-seq,GSE119450,https://zenodo.org/records/13350497,Shifrut & Marson 2018 (10.1016/j.cell.2018.10.024),T-cell exhaustion and TCR signalling
scPerturb v1.4,JoungZhang2023_atlas,Homo sapiens,True,K562,CRISPR,"Transcription factors, chromatin remodellers (CRISPRa)",Chronic myelogenous leukemia,2800000.0,10000.0,10x Chromium,Perturb-seq,scRNA-seq,GSE217460,https://zenodo.org/records/13350497,Joung & Zhang 2023 (10.1038/s41586-022-05546-2),"Transcription factor atlas, large-scale"
scPerturb v1.4,TianKampmann2019_iPSC+neuron,Homo sapiens,True,iPSC / iPSC-derived neurons,CRISPR,Neurodegeneration-related genes (CRISPRi/CRISPRa),Neurodegeneration (Alzheimer's / Parkinson's context),100000.0,200.0,10x Chromium,Perturb-seq,scRNA-seq,GSE133779,https://zenodo.org/records/13350497,Tian & Kampmann 2019 (10.1038/s41593-019-0562-9),Day-7 neurons and iPSC; CRISPRi
scPerturb v1.4,TianKampmann2021_CRISPRa+CRISPRi,Homo sapiens,True,iPSC-derived neurons,CRISPR,Alzheimer's/Parkinson's disease risk genes,Alzheimer's disease / Parkinson's disease,130000.0,300.0,10x Chromium,Perturb-seq,scRNA-seq,GSE163851,https://zenodo.org/records/13350497,Tian & Kampmann 2021 (10.1038/s41593-021-00862-0),
scPerturb v1.4,SantinhaPlatt2023,Mus musculus,True,Mouse neurons (primary),CRISPR,Autism spectrum disorder risk genes (CRISPRa),Autism spectrum disorder,500000.0,400.0,10x Chromium,Perturb-seq,scRNA-seq,GSE218208,https://zenodo.org/records/13350497,Santinha & Platt 2023 (10.1016/j.cell.2023.09.024),
scPerturb v1.4,LaraAstiasoHuntly2023_leukemia,Homo sapiens,False,,CRISPR,Leukemia regulators (CRISPR),Acute myeloid leukemia,350000.0,500.0,10x Chromium,Perturb-seq,scRNA-seq,GSE225396,https://zenodo.org/records/13350497,Lara-Astiaso & Huntly 2023,Ex vivo and in vivo AML
scPerturb v1.4,WesselsSatija2023,Homo sapiens,True,T cells (primary),CRISPR,T-cell activation / exhaustion regulators,Cancer immunology,120000.0,200.0,10x Chromium,Perturb-seq,scRNA-seq,GSE218264,https://zenodo.org/records/13350497,Wessels & Satija 2023 (10.1038/s41587-023-01827-9),
scPerturb v1.4,CuiHacohen2023,Homo sapiens,False,,CRISPR,Immune regulators (CRISPR),Immune disorders,500000.0,500.0,10x Chromium,Perturb-seq,scRNA-seq,GSE225483,https://zenodo.org/records/13350497,Cui & Hacohen 2023,Primary human immune cells
scPerturb v1.4,NadigOConner2024_HepG2,Homo sapiens,True,HepG2,CRISPR,Liver-expressed genes (CRISPRi),Hepatocellular carcinoma,400000.0,2000.0,10x Chromium,Perturb-seq,scRNA-seq,GSE246539,https://zenodo.org/records/13350497,Nadig & O'Conner 2024,
scPerturb v1.4,NadigOConner2024_Jurkat,Homo sapiens,True,Jurkat,CRISPR,T-cell signalling genes (CRISPRi),T-cell leukemia,600000.0,2000.0,10x Chromium,Perturb-seq,scRNA-seq,GSE246539,https://zenodo.org/records/13350497,Nadig & O'Conner 2024,
scPerturb v1.4,SrivatsanTrapnell2020_sciplex2,Homo sapiens,True,K562 / A549 / MCF7,small_molecule,"26 drugs (multiple doses), including BET inhibitors, HDAC inhibitors",CML / Lung cancer / Breast cancer,50000.0,26.0,sci-RNA-seq3 (combinatorial indexing),sci-Plex,scRNA-seq,GSE139944,https://zenodo.org/records/13350497,Srivatsan & Trapnell 2020 (10.1126/science.aax6234),sci-Plex; 4 doses per drug
scPerturb v1.4,SrivatsanTrapnell2020_sciplex3,Homo sapiens,True,K562 / A549 / MCF7,small_molecule,"188 drugs × 4 doses (epigenetic, cell-cycle, signalling)",CML / Lung cancer / Breast cancer,650000.0,188.0,sci-RNA-seq3 (combinatorial indexing),sci-Plex,scRNA-seq,GSE139944,https://zenodo.org/records/13350497,Srivatsan & Trapnell 2020 (10.1126/science.aax6234),Primary sci-Plex paper dataset
scPerturb v1.4,SrivatsanTrapnell2020_sciplex4,Homo sapiens,True,A549,small_molecule,"Thyroid hormone (T3), retinoic acid",Lung cancer / hormone signalling,80000.0,8.0,sci-RNA-seq3 (combinatorial indexing),sci-Plex,scRNA-seq,GSE139944,https://zenodo.org/records/13350497,Srivatsan & Trapnell 2020 (10.1126/science.aax6234),
scPerturb v1.4,AissaBenevolenskaya2021,Homo sapiens,True,MCF7 / MDA-MB-231,small_molecule,"Olaparib, Abemaciclib, Palbociclib (combinations)",Breast cancer,25000.0,4.0,Drop-seq,Drop-seq,scRNA-seq,GSE168652,https://zenodo.org/records/13350497,Aissa & Benevolenskaya 2021 (10.1038/s41467-021-23228-5),Drug tolerance; combination therapies
scPerturb v1.4,ChangYe2021,Homo sapiens,True,PC9 (lung cancer),small_molecule,Erlotinib + osimertinib (EGFR inhibitors),Non-small cell lung cancer,200000.0,4.0,10x Chromium,TraCe-seq (clonal barcoding),scRNA-seq,GSE168723,https://zenodo.org/records/13350497,Chang & Ye 2021 (10.1038/s41587-021-01007-5),EGFR-targeted therapy resistance; clonal dynamics
